Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-3.5946567476386666,-3.5414166621780763,-3.5103837514981295,-3.4823110083669633,-3.423889051394381,-3.3715492008246266,-3.3570496281514783,-3.1671236872546524,-2.8758176547610703,-2.6723405995710454,-2.749786735591047
-3.555328750766711,-3.5025965982904563,-3.4721707423097685,-3.4444167858315096,-3.3860721655270014,-3.334930382927936,-3.320133584237314,-3.130820709585792,-2.8416192606183426,-2.6399296321908925,-2.717308274366721
-3.5156793092841716,-3.463406201334306,-3.433265693606851,-3.4057991359023356,-3.348210011985007,-3.297174679701208,-3.2828666151182198,-3.0942229485969435,-2.8072360062507298,-2.6072528183910584,-2.6846164790083455
-3.475585123675884,-3.423638207720864,-3.393621790794149,-3.366506576925919,-3.31075535258802,-3.2594092198654185,-3.2452094354389787,-3.057509541999906,-2.7727315834039827,-2.57436740182033,-2.651750821077274
-3.4345764867469555,-3.3830821537715687,-3.3535719732394074,-3.326618578123001,-3.2712521521264164,-3.2213312479752942,-3.206926035930505,-3.0205246474498404,-2.7381178142901974,-2.5413306261274866,-2.6187507721330276
-3.393203362544834,-3.3421802781797454,-3.3128235641261905,-3.286393333401385,-3.232562913864506,-3.1824558160688805,-3.1680970859181516,-2.983549328804409,-2.703406542952978,-2.5081997349613108,-2.585655803735126
-3.3508326404798736,-3.3000762064989067,-3.271823341725252,-3.246075408615734,-3.192832064502098,-3.1430780736201647,-3.1286530368266376,-2.946213118993631,-2.6686183828683263,-2.4750319719705853,-2.5525053874430936
-3.3095342247381567,-3.2586915445632596,-3.2302257814860145,-3.205423831202093,-3.1519694732871475,-3.1034436066769215,-3.08843379386948,-2.908298051576205,-2.6337960965467,-2.4418835892010815,-2.5193389948164504
-3.2661247530234965,-3.215645635376514,-3.188245321832275,-3.1642600744582356,-3.1122357382237493,-3.063538872688408,-3.048644337071658,-2.870253807680468,-2.5989858895583713,-2.408799100593404,-2.4861960381063386
-3.222886587102483,-3.174300237891476,-3.1469182977990977,-3.122994894964532,-3.0712207126511215,-3.0234924967786223,-3.0079270656630657,-2.8324094838490597,-2.5642337943404363,-2.375815345843067,-2.453114825921012
-3.1801622601713913,-3.131557598479158,-3.1049391995041926,-3.081873254135991,-3.0305602658714754,-2.9836453925623356,-2.96860288053532,-2.7948031500839106,-2.529583582710673,-2.342969032113567,-2.420132691043401
-3.137038060182702,-3.0889249125589635,-3.062817162380267,-3.040567159753444,-2.989694630131832,-2.9437019065236196,-2.9272655992039525,-2.757314986473509,-2.495077440944514,-2.3102968665683967,-2.387286932633035
-3.09323589177524,-3.045859811145222,-3.0211626915421856,-2.999065210703568,-2.9501156179621875,-2.9035583289988383,-2.887976911319726,-2.719773210249719,-2.4607575225475644,-2.2778355563710497,-2.354614849849444
-3.050409609904247,-3.0037007135425244,-2.9791740558450126,-2.9577253016385976,-2.909193871429847,-2.8648513928614228,-2.8479341841311947,-2.682366597976562,-2.426665981025425,-2.2456218086850175,-2.322153741852157
-3.008179984946655,-2.9610193425667393,-2.938098163100205,-2.916912131926727,-2.86922724635365,-2.82443262153937,-2.8074841100420174,-2.6453873783963777,-2.3928449698837033,-2.21369229322368,-2.2899409078007085
-2.964615608351978,-2.9201954666037566,-2.89628194384925,-2.876085362117629,-2.8295774364623956,-2.7858420741387198,-2.768594880426249,-2.608869617334673,-2.3593366426280014,-2.182070418676069,-2.258013645639405
-2.9230870807703297,-2.878876427031397,-2.856669478141945,-2.835608457110177,-2.7906271712658364,-2.747076971284249,-2.7290647763571076,-2.572775550874293,-2.3261831521795533,-2.15074682975748,-2.2263975853225393
