Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_31
-4.459139824508435,-4.420747999093274,-4.3905838254295135,-4.366187563135874,-4.333843804170198,-4.310844236412596,-4.288679581295413,-4.2496730087166235,-4.21341320926843,-4.181075931926504,-4.144026010956439,-4.11654836827455,-4.086755887681209,-4.059429810699928,-4.013915823707963
-4.44958022534922,-4.411537101021546,-4.38172646133161,-4.357416732242769,-4.32513149800895,-4.302144965877888,-4.279979687889164,-4.24099826746325,-4.204579110849241,-4.172162370571917,-4.135043626416391,-4.107476950794764,-4.077600413659651,-4.050227113183929,-4.004880102578488
-4.439716853427377,-4.402034270642884,-4.372532140988523,-4.348334608860779,-4.316163820122623,-4.2932142503415935,-4.271061962222412,-4.232111603590432,-4.195567608735438,-4.163072976421847,-4.125874096319011,-4.098269850520553,-4.0682884551028105,-4.040871903516025,-3.9957185639416712
-4.4295384253217565,-4.392221922801927,-4.3629478553065315,-4.33888858952934,-4.3069124627337105,-4.284027906654312,-4.261903228315372,-4.222995647604367,-4.186375061436779,-4.153804922839415,-4.1165120277093346,-4.088928689754572,-4.058824745009008,-4.031370240204564,-3.9864406897036027
-4.419047142647783,-4.3820824723433125,-4.352963283737932,-4.329051555796281,-4.297349118064711,-4.27456175166664,-4.252480310188257,-4.213633030011246,-4.17699782746302,-4.144355383187738,-4.106951885068399,-4.079429674539676,-4.049212359872625,-4.021726019881114,-3.9770442613932135
-4.408252238452921,-4.3715983341116855,-4.342595445100362,-4.318835181256372,-4.287445478338123,-4.264791602229176,-4.242770031861288,-4.204006381317268,-4.167432265323918,-4.134721432057806,-4.097183414646151,-4.069740391535466,-4.039437680217312,-4.011923162918172,-3.9674980631152517
-4.397163006575961,-4.360751922951681,-4.331861804893762,-4.308254394861791,-4.277173235776443,-4.25469327519252,-4.232749217354678,-4.194098332028625,-4.157670907493572,-4.124891732832918,-4.087190671685641,-4.059828420431658,-4.0294774181549435,-4.0019347907500595,-3.957766464084631
-4.385791119059164,-4.34952752574239,-4.320780623178524,-4.297324237804958,-4.266507926146654,-4.244242691240219,-4.222394690688642,-4.1838930414321345,-4.147670805005926,-4.114840237259875,-4.076957372165165,-4.0496613409179645,-4.019308167684137,-3.9917339190527414,-3.947813833516267
-4.374159439601194,-4.337941595470622,-4.3093785782204215,-4.2860652323475525,-4.255462371587535,-4.233430168507616,-4.211686397623635,-4.173385293845233,-4.1373697722098735,-4.104539413396512,-4.0664672320630215,-4.039206732684102,-4.008906522803519,-3.9812935635021858,-3.9376045406250775
-4.362294121055488,-4.326037660149785,-4.297687414385611,-4.274505744820776,-4.244070348524385,-4.222275032020682,-4.200633338829969,-4.162574384374202,-4.12670543321366,-4.093961729300652,-4.0557039673575135,-4.028432186255987,-3.998249077511707,-3.9705867397743604,-3.9271029546259757
-4.350221316720031,-4.313860092126139,-4.285738945493808,-4.2626747455148815,-4.232365866435742,-4.21080009012531,-4.189260313270074,-4.151459624538566,-4.115627889036604,-4.083079653030128,-4.04465129402694,-4.017316672480351,-3.9873124262152793,-3.9595864684651785,-3.9162738119862555
-4.3379671798928126,-4.301453263745946,-4.273564985364729,-4.250601204720124,-4.220382934800139,-4.199028151167394,-4.177592277668945,-4.140040325857853,-4.1041857183161445,-4.071865652642771,-4.033293302905044,-4.005872103495781,-3.976074593692318,-3.9482696545764333,-3.9051015807920053
-4.325557749255011,-4.288861547355468,-4.261197347818094,-4.238314092726762,-4.208155563096115,-4.186982023492827,-4.165654188751587,-4.128315799851587,-4.092473171332148,-4.060295727666244,-4.021616506489437,-3.994116317214028,-3.964518241272255,-3.9366240569924837,-3.8936000573880527
-4.313000267177277,-4.276119724532393,-4.248657915760014,-4.225840275307665,-4.195712984024447,-4.174684281456823,-4.1534710032429905,-4.116285643192368,-4.080537029284409,-4.048371649977107,-4.009608379799455,-3.9820671515468393,-3.952626968073049,-3.9246393157360124,-3.8817854197130823
-4.300262464409638,-4.263209428214847,-4.235921385208772,-4.213169970695637,-4.183050893107747,-4.162143607124694,-4.141061631344278,-4.103952798652726,-4.068357522327854,-4.036106615806809,-3.9972564003054396,-3.969742444405964,-3.9403843732126647,-3.912305070829703,-3.8696738457057758
